sending_region,receiving_region,bitrate_bps,avgrtt
gcp--us-central1,aws--eu-west-1,300000000,103.435
gcp--us-central1,aws--ap-northeast-1,300000000,133.996
gcp--us-central1,aws--sa-east-1,300000000,145.483
gcp--us-central1,gcp--as-southeast-1,300000000,195.763
gcp--us-central1,gcp--australia-southeast1,300000000,175.426
aws--sa-east-1,gcp--us-central1,300000000,145.703
aws--sa-east-1,aws--eu-west-1,300000000,176.894
aws--sa-east-1,aws--ap-northeast-1,300000000,255.289
aws--sa-east-1,gcp--as-southeast-1,300000000,329.213
aws--sa-east-1,gcp--australia-southeast1,300000000,305.157
aws--eu-west-1,gcp--us-central1,300000000,104.169
aws--eu-west-1,aws--sa-east-1,300000000,176.813
aws--eu-west-1,aws--ap-northeast-1,300000000,198.555
aws--eu-west-1,gcp--as-southeast-1,300000000,211.419
aws--eu-west-1,gcp--australia-southeast1,300000000,271.738
aws--ap-northeast-1,gcp--us-central1,300000000,128.999
aws--ap-northeast-1,aws--eu-west-1,300000000,198.539
aws--ap-northeast-1,aws--sa-east-1,300000000,255.323
aws--ap-northeast-1,gcp--as-southeast-1,300000000,72.837
aws--ap-northeast-1,gcp--australia-southeast1,300000000,144.842
gcp--as-southeast-1,gcp--us-central1,300000000,195.763
gcp--as-southeast-1,aws--sa-east-1,300000000,329.213
gcp--as-southeast-1,aws--eu-west-1,300000000,211.419
gcp--as-southeast-1,aws--ap-northeast-1,300000000,72.837
gcp--as-southeast-1,gcp--australia-southeast1,300000000,94.512
gcp--australia-southeast1,gcp--us-central1,300000000,175.426
gcp--australia-southeast1,aws--sa-east-1,300000000,305.157
gcp--australia-southeast1,aws--eu-west-1,300000000,271.738
gcp--australia-southeast1,aws--ap-northeast-1,300000000,144.842
gcp--australia-southeast1,gcp--as-southeast-1,300000000,94.512
